#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Steady-state Random Waypoint Model
# numNodes = 30
# maxX = 1000.00
# maxY = 500.00
# endTime = 200.00
# speedMean = 1.0000
# speedDelta = 0.5000
# pauseMean = 0.00
# pauseDelta = 0.00
# output = N
#~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# output format is NS2
# Initial positions:
$node_(0) set X_ 613.712027039135
$node_(0) set Y_ 407.781502118027
$node_(0) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(0) setdest 778.178365797819 10.599654405657
0.867165048443"
$node_(1) set X_ 848.222321956188
$node_(1) set Y_ 358.401099268853
$node_(1) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(1) setdest 961.529760137913 355.493049302834
1.058234459467"
$node_(2) set X_ 680.607118547142
$node_(2) set Y_ 169.646111779022
$node_(2) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(2) setdest 740.555793391800 27.772419866068
0.652226246514"
$node_(3) set X_ 373.110890421037
$node_(3) set Y_ 327.706941209160
$node_(3) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(3) setdest 67.360786752478 241.658799928454
0.650866535248"
$node_(4) set X_ 841.815707709850
143
$node_(4) set Y_ 413.176368828150
$node_(4) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(4) setdest 858.915223208682 411.970602540286
1.180877481358"
$node_(5) set X_ 217.096397190350
$node_(5) set Y_ 421.859324029156
$node_(5) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(5) setdest 259.328397577316 484.964666881116
1.294193585055"
$node_(6) set X_ 256.424182260918
$node_(6) set Y_ 413.430079555596
$node_(6) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(6) setdest 113.676609058714 426.616670995307
0.801168741819"
$node_(7) set X_ 780.053246273399
$node_(7) set Y_ 362.394090331604
$node_(7) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(7) setdest 352.890131693748 454.746367388752
0.810368453896"
$node_(8) set X_ 476.768083413225
$node_(8) set Y_ 278.397004549892
$node_(8) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(8) setdest 360.469018276999 252.719828045331
1.427930509782"
$node_(9) set X_ 293.709557046073
$node_(9) set Y_ 102.440067302821
$node_(9) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(9) setdest 664.158614195957 374.388675845409
0.858536866585"
$node_(10) set X_ 586.068842944261
$node_(10) set Y_ 246.132104897799
$node_(10) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(10) setdest 687.022038124046 226.469482633504
1.146952281162"
$node_(11) set X_ 78.467013181860
$node_(11) set Y_ 92.662363200449
$node_(11) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(11) setdest 39.278301428667 93.915270918009
0.993153529604"
$node_(12) set X_ 300.856625817404
$node_(12) set Y_ 305.144488019547
$node_(12) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(12) setdest 876.229434682163 403.959264701213
1.005302994653"
$node_(13) set X_ 434.185267501895
$node_(13) set Y_ 19.008160708186
144
$node_(13) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(13) setdest 225.755109556837 21.822365243836
0.761356920880"
$node_(14) set X_ 409.204766980916
$node_(14) set Y_ 129.759715831470
$node_(14) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(14) setdest 236.586925683816 67.601430261322
1.301051191699"
$node_(15) set X_ 852.123465215560
$node_(15) set Y_ 388.048226109769
$node_(15) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(15) setdest 606.701148490748 453.372526892169
1.354423522421"
$node_(16) set X_ 218.646035061125
$node_(16) set Y_ 358.179864557683
$node_(16) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(16) setdest 382.919258616361 128.381972959443
1.294380157538"
$node_(17) set X_ 277.434944928625
$node_(17) set Y_ 203.792318526688
$node_(17) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(17) setdest 288.884230558241 187.089915940114
1.041813340580"
$node_(18) set X_ 312.554225908812
$node_(18) set Y_ 370.195332553450
$node_(18) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(18) setdest 971.238921848703 56.077140409535
1.331946957662"
$node_(19) set X_ 492.127314765973
$node_(19) set Y_ 145.622585889827
$node_(19) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(19) setdest 908.521630293001 303.313515290298
0.756391690467"
$node_(20) set X_ 313.934362963425
$node_(20) set Y_ 434.871876422744
$node_(20) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(20) setdest 76.229062432530 454.880705082268
1.377265706732"
$node_(21) set X_ 229.416013865152
$node_(21) set Y_ 304.574308506223
$node_(21) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(21) setdest 122.208689396367 332.885948863293
0.837461672922"
$node_(22) set X_ 839.424728234321
$node_(22) set Y_ 256.693663263651
$node_(22) set Z_ 0.000000000000
145
$ns_ at 0.000000000000 "$node_(22) setdest 568.448169421613 485.468710765927
1.428051638795"
$node_(23) set X_ 939.287827806221
$node_(23) set Y_ 233.735920967497
$node_(23) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(23) setdest 986.509317991561 242.531218213277
1.389589496200"
$node_(24) set X_ 689.943106825287
$node_(24) set Y_ 55.013711285647
$node_(24) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(24) setdest 43.066920732645 438.742113271142
1.429589013598"
$node_(25) set X_ 590.255274915271
$node_(25) set Y_ 334.893862143365
$node_(25) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(25) setdest 577.952300001845 355.300805929723
1.113933907117"
$node_(26) set X_ 656.417569998854
$node_(26) set Y_ 119.888292494474
$node_(26) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(26) setdest 279.813360087487 0.206849537886
0.958166218084"
$node_(27) set X_ 328.572574221616
$node_(27) set Y_ 105.758041479865
$node_(27) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(27) setdest 872.432790637218 445.216093885347
0.949508138595"
$node_(28) set X_ 500.559105983323
$node_(28) set Y_ 209.575088050017
$node_(28) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(28) setdest 492.269182806960 70.614737258579
0.978418373489"
$node_(29) set X_ 485.023573289753
$node_(29) set Y_ 150.804713275158
$node_(29) set Z_ 0.000000000000
$ns_ at 0.000000000000 "$node_(29) setdest 99.956948356683 65.496281052705
0.969152319116"
# Movements:
$ns_ at 495.738067676752 "$node_(0) setdest 778.178365797819 10.599654405657
0.000000000000"
$ns_ at 14.516302619213 "$node_(4) setdest 858.915223208682 411.970602540286
0.000000000000"
$ns_ at 14.516302619213 "$node_(4) setdest 919.863053094532 58.045198003783
1.292372898102"
146
$ns_ at 19.437118373500 "$node_(17) setdest 288.884230558241 187.089915940114
0.000000000000"
$ns_ at 19.437118373500 "$node_(17) setdest 912.991756067142 75.594786124115
0.891694721483"
$ns_ at 21.391477099142 "$node_(25) setdest 577.952300001845 355.300805929723
0.000000000000"
$ns_ at 21.391477099142 "$node_(25) setdest 643.458755055190 313.704017463002
0.920494727055"
$ns_ at 34.566752693662 "$node_(23) setdest 986.509317991561 242.531218213277
0.000000000000"
$ns_ at 34.566752693662 "$node_(23) setdest 171.588039105566 491.383518088322
1.364870510932"
$ns_ at 39.479027070750 "$node_(11) setdest 39.278301428667 93.915270918009
0.000000000000"
$ns_ at 39.479027070750 "$node_(11) setdest 851.983278455205 350.976389297739
1.216181742827"
$ns_ at 58.672085979910 "$node_(5) setdest 259.328397577316 484.964666881116
0.000000000000"
$ns_ at 58.672085979910 "$node_(5) setdest 328.439371813293 186.194702138284
0.813231100940"
$ns_ at 83.407361205134 "$node_(8) setdest 360.469018276999 252.719828045331
0.000000000000"
$ns_ at 83.407361205134 "$node_(8) setdest 762.877216452210 204.424979493220
0.959431933919"
$ns_ at 89.672617398958 "$node_(10) setdest 687.022038124046 226.469482633504
0.000000000000"
$ns_ at 89.672617398958 "$node_(10) setdest 456.280221443754 131.537186508783
0.865286000243"
$ns_ at 105.691369067463 "$node_(25) setdest 643.458755055190 313.704017463002
0.000000000000"
$ns_ at 105.691369067463 "$node_(25) setdest 379.164769490792 420.231991876025
0.876143274073"
$ns_ at 107.107407779596 "$node_(1) setdest 961.529760137913 355.493049302834
0.000000000000"
$ns_ at 107.107407779596 "$node_(1) setdest 991.653556000280 371.650952320383
0.792156525092"
$ns_ at 132.403238904440 "$node_(21) setdest 122.208689396367 332.885948863293
0.000000000000"
$ns_ at 132.403238904440 "$node_(21) setdest 370.709939101110 137.187726626726
1.135112311055"
$ns_ at 141.015339869062 "$node_(14) setdest 236.586925683816 67.601430261322
0.000000000000"
$ns_ at 141.015339869062 "$node_(14) setdest 257.142488964434 487.961781438422
1.042297978672"
$ns_ at 142.277996704476 "$node_(28) setdest 492.269182806960 70.614737258579
0.000000000000"
147
$ns_ at 142.277996704476 "$node_(28) setdest 677.876341472322 265.456088476561
0.609125766954"
$ns_ at 150.260034810076 "$node_(1) setdest 991.653556000280 371.650952320383
0.000000000000"
$ns_ at 150.260034810076 "$node_(1) setdest 903.301581229689 49.938698555314
0.506315712820"
$ns_ at 173.202551893527 "$node_(20) setdest 76.229062432530 454.880705082268
0.000000000000"
